Evaporator Area,Condenser Area,Compressor Design Flow,Capacity,Outside Air Temperature,Success,Annual Operating Cost,Annualized Capital Cost,Annualized Capital Compressor Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Total Annualized Cost,Total Equp Cost,Experimental Op Cost
110,85,30,160,35,FALSE,0,0,0,0,0,0,0,
110,85,45,160,35,FALSE,0,0,0,0,0,0,0,
110,85,60,160,35,TRUE,292248.6692,26845.00533,19162.88256,4068.786552,3613.336217,319093.6746,26845.00533,
110,85,75,160,35,TRUE,65790.36691,30590.21107,22908.08831,4068.786552,3613.336217,96380.57798,30590.21108,
110,85,90,160,35,TRUE,50416.87448,34187.4912,26505.36843,4068.786552,3613.336217,84604.36568,34187.4912,
110,85,105,160,35,TRUE,46361.8571,37666.24068,29984.11791,4068.786552,3613.336217,84028.09778,37666.24068,
110,85,120,160,35,TRUE,45436.31848,41046.63919,33364.51642,4068.786552,3613.336217,86482.95767,41046.63919,
110,85,135,160,35,TRUE,45787.77344,44343.33766,36661.21489,4068.786552,3613.336217,90131.1111,44343.33766,
110,85,150,160,35,TRUE,46766.06921,47567.42112,39885.29836,4068.786552,3613.336217,94333.49033,47567.42113,
110,80,15,160,35,FALSE,0,0,0,0,0,0,0,
110,80,30,160,35,FALSE,0,0,0,0,0,0,0,
110,80,45,160,35,FALSE,0,0,0,0,0,0,0,
110,80,60,160,35,TRUE,292248.6692,26752.1864,19162.88256,4068.786552,3520.517286,319000.8556,26752.1864,
110,80,75,160,35,TRUE,65790.36691,30497.39214,22908.08831,4068.786552,3520.517286,96287.75905,30497.39215,
110,80,90,160,35,TRUE,50416.87448,34094.67227,26505.36843,4068.786552,3520.517286,84511.54675,34094.67227,
110,80,105,160,35,TRUE,46361.8571,37573.42175,29984.11791,4068.786552,3520.517286,83935.27885,37573.42175,
110,80,120,160,35,TRUE,45436.31848,40953.82026,33364.51642,4068.786552,3520.517286,86390.13874,40953.82026,
110,80,135,160,35,TRUE,45787.77344,44250.51873,36661.21489,4068.786552,3520.517286,90038.29217,44250.51873,
110,80,150,160,35,TRUE,46766.06921,47474.60219,39885.29836,4068.786552,3520.517286,94240.6714,47474.6022,
110,75,15,160,35,FALSE,0,0,0,0,0,0,0,
110,75,30,160,35,FALSE,0,0,0,0,0,0,0,
110,75,45,160,35,FALSE,0,0,0,0,0,0,0,
110,75,60,160,35,TRUE,292248.6692,26658.70295,19162.88256,4068.786552,3427.033833,318907.3722,26658.70295,
110,75,75,160,35,TRUE,65790.36691,30403.90869,22908.08831,4068.786552,3427.033833,96194.2756,30403.9087,
110,75,90,160,35,TRUE,50416.87448,34001.18881,26505.36843,4068.786552,3427.033833,84418.06329,34001.18882,
110,75,105,160,35,TRUE,46361.8571,37479.9383,29984.11791,4068.786552,3427.033833,83841.7954,37479.93829,
110,75,120,160,35,TRUE,45436.31848,40860.33681,33364.51642,4068.786552,3427.033833,86296.65528,40860.33681,
110,75,135,160,35,TRUE,45787.77344,44157.03527,36661.21489,4068.786552,3427.033833,89944.80872,44157.03528,
110,75,150,160,35,TRUE,46766.06921,47381.11874,39885.29836,4068.786552,3427.033833,94147.18795,47381.11875,
110,70,15,160,35,FALSE,0,0,0,0,0,0,0,
110,70,30,160,35,FALSE,0,0,0,0,0,0,0,
110,70,45,160,35,FALSE,0,0,0,0,0,0,0,
110,70,60,160,35,TRUE,292248.6692,26564.5156,19162.88256,4068.786552,3332.846483,318813.1848,26564.5156,
110,70,75,160,35,TRUE,65790.36691,30309.72134,22908.08831,4068.786552,3332.846483,96100.08824,30309.72135,
110,70,90,160,35,TRUE,50416.87448,33907.00146,26505.36843,4068.786552,3332.846483,84323.87594,33907.00147,
110,70,105,160,35,TRUE,46361.8571,37385.75095,29984.11791,4068.786552,3332.846483,83747.60805,37385.75095,
110,70,120,160,35,TRUE,45436.31848,40766.14946,33364.51642,4068.786552,3332.846483,86202.46793,40766.14946,
110,70,135,160,35,TRUE,45787.77344,44062.84792,36661.21489,4068.786552,3332.846483,89850.62136,44062.84793,
110,70,150,160,35,TRUE,46766.06921,47286.93139,39885.29836,4068.786552,3332.846483,94053.0006,47286.9314,
110,65,15,160,35,FALSE,0,0,0,0,0,0,0,
110,65,30,160,35,FALSE,0,0,0,0,0,0,0,
110,65,45,160,35,FALSE,0,0,0,0,0,0,0,
110,65,60,160,35,TRUE,292248.6692,26469.5868,19162.88256,4068.786552,3237.917686,318718.256,26469.5868,
110,65,75,160,35,TRUE,65790.36691,30214.79254,22908.08831,4068.786552,3237.917686,96005.15945,30214.79255,
110,65,90,160,35,TRUE,50416.87448,33812.07267,26505.36843,4068.786552,3237.917686,84228.94715,33812.07267,
110,65,105,160,35,TRUE,46361.8571,37290.82215,29984.11791,4068.786552,3237.917686,83652.67925,37290.82215,
110,65,120,160,35,TRUE,45436.31848,40671.22066,33364.51642,4068.786552,3237.917686,86107.53914,40671.22066,
110,65,135,160,35,TRUE,45787.77344,43967.91913,36661.21489,4068.786552,3237.917686,89755.69257,43967.91913,
110,65,150,160,35,TRUE,46766.06921,47192.00259,39885.29836,4068.786552,3237.917686,93958.0718,47192.0026,
110,60,15,160,35,FALSE,0,0,0,0,0,0,0,
110,60,30,160,35,FALSE,0,0,0,0,0,0,0,
110,60,45,160,35,FALSE,0,0,0,0,0,0,0,
110,60,60,160,35,TRUE,292248.6692,26373.88422,19162.88256,4068.786552,3142.215107,318622.5535,26373.88422,
110,60,75,160,35,TRUE,65790.36691,30119.08996,22908.08831,4068.786552,3142.215107,95909.45687,30119.08997,
110,60,90,160,35,TRUE,50416.87448,33716.37009,26505.36843,4068.786552,3142.215107,84133.24457,33716.37009,
110,60,105,160,35,TRUE,46361.8571,37195.11957,29984.11791,4068.786552,3142.215107,83556.97667,37195.11957,
110,60,120,160,35,TRUE,45436.31848,40575.51808,33364.51642,4068.786552,3142.215107,86011.83656,40575.51808,
110,60,135,160,35,TRUE,45787.77344,43872.21655,36661.21489,4068.786552,3142.215107,89659.98999,43872.21655,
110,60,150,160,35,TRUE,46766.06921,47096.30002,39885.29836,4068.786552,3142.215107,93862.36922,47096.30002,
110,55,15,160,35,FALSE,0,0,0,0,0,0,0,
110,55,30,160,35,FALSE,0,0,0,0,0,0,0,
110,55,45,160,35,FALSE,0,0,0,0,0,0,0,
110,55,60,160,35,TRUE,292248.6692,26277.3867,19162.88256,4068.786552,3045.717582,318526.0559,26277.38669,
110,55,75,160,35,TRUE,65790.36691,30022.59244,22908.08831,4068.786552,3045.717582,95812.95934,30022.59244,
110,55,90,160,35,TRUE,50416.87448,33619.87256,26505.36843,4068.786552,3045.717582,84036.74704,33619.87256,
110,55,105,160,35,TRUE,46361.8571,37098.62205,29984.11791,4068.786552,3045.717582,83460.47915,37098.62204,
110,55,120,160,35,TRUE,45436.31848,40479.02056,33364.51642,4068.786552,3045.717582,85915.33903,40479.02055,
110,55,135,160,35,TRUE,45787.77344,43775.71902,36661.21489,4068.786552,3045.717582,89563.49246,43775.71902,
110,55,150,160,35,TRUE,46766.06921,46999.80249,39885.29836,4068.786552,3045.717582,93765.8717,46999.80249,
110,50,15,160,35,FALSE,0,0,0,0,0,0,0,
110,50,30,160,35,FALSE,0,0,0,0,0,0,0,
110,50,45,160,35,FALSE,0,0,0,0,0,0,0,
110,50,60,160,35,TRUE,292248.6692,26180.09481,19162.88256,4068.786552,2948.425692,318428.764,26180.0948,
110,50,75,160,35,TRUE,65790.36691,29925.30055,22908.08831,4068.786552,2948.425692,95715.66745,29925.30055,
110,50,90,160,35,TRUE,50416.87448,33522.58067,26505.36843,4068.786552,2948.425692,83939.45515,33522.58067,
